Temperature,liq_phase_comp_benzene,liq_phase_comp_cyclohexane,vapor_phase_comp_benzene,vapor_phase_comp_cyclohexane,Accentric_factor_benzene,Accentric_factor_cyclohexane
351.03,0.497,0.482,0.511,0.489,1.087,1.098
351.07,0.545,0.429,0.558,0.441,1.081,1.112
351.09,0.508,0.465,0.516,0.483,1.07,1.123
351.09,0.583,0.395,0.586,0.413,1.061,1.13
351.11,0.547,0.427,0.562,0.438,1.082,1.108
351.12,0.467,0.51,0.486,0.514,1.095,1.09
351.16,0.446,0.534,0.467,0.533,1.103,1.077
351.18,0.476,0.497,0.489,0.511,1.08,1.108
351.21,0.421,0.558,0.446,0.553,1.116,1.068
351.26,0.441,0.531,0.467,0.533,1.112,1.072
351.29,0.521,0.455,0.531,0.469,1.068,1.109
351.35,0.375,0.604,0.41,0.59,1.144,1.048
351.39,0.394,0.584,0.43,0.57,1.143,1.045
351.47,0.405,0.565,0.432,0.568,1.113,1.074
351.66,0.606,0.334,0.635,0.364,1.087,1.16
351.7,0.331,0.632,0.374,0.626,1.169,1.051
351.71,0.356,0.605,0.388,0.611,1.128,1.072
351.89,0.425,0.504,0.448,0.546,1.084,1.145
351.91,0.39,0.548,0.4,0.59,1.056,1.136
351.92,0.479,0.44,0.519,0.48,1.113,1.149
351.93,0.438,0.491,0.467,0.528,1.095,1.134
351.97,0.625,0.306,0.657,0.343,1.08,1.179
351.97,0.317,0.643,0.339,0.654,1.1,1.072
351.99,0.286,0.667,0.326,0.673,1.171,1.062
352.01,0.524,0.398,0.556,0.444,1.09,1.174
352.01,0.387,0.552,0.42,0.578,1.114,1.102
352.05,0.719,0.213,0.732,0.266,1.044,1.311
352.1,0.383,0.549,0.422,0.576,1.127,1.101
352.11,0.456,0.462,0.496,0.501,1.113,1.138
352.13,0.348,0.604,0.385,0.614,1.128,1.066
352.15,0.338,0.613,0.38,0.62,1.149,1.059
352.17,0.378,0.574,0.404,0.593,1.089,1.082
352.17,0.746,0.184,0.769,0.231,1.053,1.315
352.17,0.361,0.575,0.402,0.597,1.137,1.086
352.19,0.393,0.548,0.421,0.574,1.094,1.096
352.27,0.583,0.33,0.62,0.379,1.082,1.202
352.33,0.227,0.718,0.273,0.723,1.222,1.049
352.43,0.368,0.577,0.398,0.599,1.097,1.078
352.52,0.538,0.374,0.574,0.423,1.076,1.173
352.57,0.844,0.116,0.853,0.147,1.019,1.309
352.65,0.194,0.751,0.233,0.762,1.208,1.047
352.87,0.326,0.546,0.378,0.614,1.159,1.154
352.9,0.786,0.142,0.817,0.183,1.038,1.32
352.95,0.889,0.07,0.905,0.095,1.014,1.389
353.04,0.123,0.81,0.182,0.813,1.471,1.024
353.13,0.345,0.556,0.39,0.604,1.119,1.106
353.2,0.122,0.836,0.145,0.847,1.179,1.03
353.2,0.98,0.008,0.99,0.01,1,1.185
353.22,0.968,0.012,0.983,0.017,1.004,1.493
353.23,0.928,0.032,0.957,0.043,1.02,1.36
353.31,0.869,0.057,0.922,0.077,1.046,1.358
353.4,0.208,0.621,0.263,0.728,1.243,1.185
353.46,0.971,0.009,0.988,0.012,0.999,1.33
353.56,0.084,0.886,0.109,0.891,1.26,1.011
353.7,0.047,0.91,0.045,0.942,0.933,1.036
353.71,0.15,0.686,0.188,0.791,1.223,1.155
353.71,0.82,0.082,0.887,0.109,1.054,1.329
353.85,0.106,0.75,0.152,0.837,1.388,1.113
353.96,0.028,0.959,0.023,0.974,0.799,1.009
354.04,0.042,0.876,0.075,0.922,1.741,1.042
354.04,0.222,0.526,0.286,0.702,1.245,1.324
354.08,0.036,0.947,0.04,0.96,1.078,1.003
354.1,0.082,0.807,0.111,0.879,1.304,1.078
354.2,0.685,0.132,0.8,0.189,1.121,1.415
354.24,0.768,0.107,0.844,0.148,1.054,1.363
354.24,0.884,0.037,0.95,0.049,1.03,1.284
354.28,0.079,0.875,0.103,0.893,1.246,1.005
354.36,0.397,0.369,0.482,0.504,1.16,1.34
354.39,0.302,0.511,0.365,0.621,1.154,1.192
354.41,0.517,0.286,0.604,0.383,1.115,1.312
354.43,0.114,0.805,0.136,0.85,1.14,1.035
354.82,0.363,0.394,0.441,0.541,1.145,1.329
354.92,0.455,0.352,0.537,0.445,1.109,1.223
354.93,0.197,0.516,0.269,0.714,1.286,1.337
355.05,0.834,0.043,0.935,0.06,1.05,1.354
355.05,0.622,0.162,0.748,0.238,1.127,1.413
355.21,0.499,0.227,0.625,0.352,1.167,1.489
355.23,0.531,0.203,0.662,0.318,1.161,1.503
355.28,0.273,0.455,0.343,0.636,1.168,1.335
355.35,0.646,0.099,0.824,0.16,1.184,1.54
355.38,0.177,0.679,0.194,0.786,1.013,1.104
355.53,0.179,0.487,0.24,0.707,1.235,1.378
355.53,0.771,0.064,0.899,0.092,1.076,1.376
355.6,0.74,0.066,0.86,0.122,1.07,1.745
355.68,0.024,0.834,0.048,0.74,1.849,1.066
355.69,0.45,0.327,0.543,0.439,1.108,1.272
355.93,0.404,0.298,0.509,0.455,1.148,1.433
356.13,0.086,0.738,0.098,0.88,1.042,1.113
356.16,0.385,0.378,0.46,0.519,1.083,1.279
356.21,0.46,0.237,0.588,0.383,1.157,1.508
356.29,0.498,0.267,0.597,0.383,1.082,1.334
356.43,0.063,0.742,0.086,0.897,1.213,1.118
356.68,0.116,0.629,0.15,0.822,1.149,1.201
356.75,0.553,0.137,0.738,0.226,1.186,1.509
357.05,0.421,0.255,0.56,0.409,1.171,1.459
357.14,0.602,0.123,0.785,0.187,1.148,1.38
357.61,0.164,0.432,0.241,0.723,1.276,1.497
358.24,0.326,0.307,0.44,0.524,1.149,1.501
358.85,0.372,0.28,0.498,0.463,1.118,1.428
359.67,0.344,0.286,0.464,0.49,1.102,1.447
359.68,0.296,0.34,0.402,0.552,1.108,1.372
360.46,0.21,0.344,0.316,0.628,1.202,1.507
360.53,0.143,0.375,0.24,0.693,1.336,1.525
360.89,0.237,0.321,0.337,0.608,1.12,1.547
361.44,0.125,0.32,0.232,0.71,1.442,1.784
361.92,0.482,0.144,0.692,0.255,1.1,1.403
364.71,0.417,0.123,0.68,0.246,1.154,1.47
365.63,0.111,0.273,0.235,0.687,1.464,1.803
367.1,0.362,0.133,0.622,0.29,1.137,1.504
367.49,0.312,0.143,0.559,0.331,1.173,1.582
371.01,0.019,0.245,0.078,0.762,2.422,1.93
373.2,0.254,0.135,0.506,0.357,1.114,1.55
377.83,0.185,0.152,0.392,0.373,1.05,1.274
390.76,0.317,0.015,0.845,0.048,0.956,1.22
408.45,0.174,0.026,0.559,0.111,0.769,1.108
411.78,0.137,0.026,0.508,0.121,0.824,1.104
421.09,0.033,0.019,0.148,0.125,0.811,1.315
